flow_work_id	flow_work_name	flow_work_flow_id	update_date	edit_user_id	sort	enabled_flg	del_flg
156	実習生総合保険加入	12	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	3	1	0
157	実習生総合保険加入書類回収	12	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	4	1	0
158	実習生総合保険加入確認	12	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	5	1	0
159	出国確認	12	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	6	1	0
160	入国確認	12	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	7	1	0
161	配属	13	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	1	1	0
162	配属書類回収	13	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	2	1	0
163	管理簿準備	13	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	3	1	0
164	在留期間更新許可申請書類準備	13	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	4	1	0
165	在留期間更新許可申請書類回収	13	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	5	1	0
166	在留期間更新許可申請	13	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	6	1	0
167	管理簿準備	13	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	7	1	0
168	第１回：監査準備（監査 ３ヶ月１回）	13	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	8	1	0
169	第１回：監査実施（監査 ３ヶ月１回）	13	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	9	1	0
170	第１回：監査書類確認（監査 ３ヶ月１回）	13	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	10	1	0
171	第１回：監査書類提出（監査 ３ヶ月１回）	13	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	11	1	0
172	第２回：監査準備（監査 ３ヶ月１回）	13	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	12	1	0
173	第２回：監査実施（監査 ３ヶ月１回）	13	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	13	1	0
174	第２回：監査書類確認（監査 ３ヶ月１回）	13	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	14	1	0
175	第２回：監査書類提出（監査 ３ヶ月１回）	13	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	15	1	0
176	第３回：監査準備（監査 ３ヶ月１回）	13	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	16	1	0
